# Rime user dictionary
#@/db_name	extended
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	615008
#@/user_id	c28f17ba-0bbb-4f45-89da-6c5d9fec0f91
a 	啊	c=2108 d=6.0343 t=615008
a 	阿	c=4 d=1.20475e-45 t=615008
a la si jia zhou 	阿拉斯加州	c=1 d=0 t=615008
a li 	阿里	c=18 d=6.92854e-37 t=615008
a li yun 	阿里云	c=1 d=6.78821e-296 t=615008
a qiang 	阿强	c=1 d=0 t=615008
a sai lai 	啊赛来	c=3 d=1.19874e-45 t=615008
a san 	阿三	c=1 d=1.28343e-259 t=615008
a yi 	阿姨	c=1 d=0 t=615008
a zhe 	啊这	c=69 d=1.53642e-23 t=615008
ai 	哀	c=1 d=1.29412e-92 t=615008
ai 	哎	c=2582 d=2.98134 t=615008
ai 	挨	c=2 d=0 t=615008
ai 	爱	c=36 d=2.37114e-69 t=615008
ai 	矮	c=6 d=6.90925e-63 t=615008
ai 	艾	c=2 d=2.73896e-226 t=615008
ai ai 	爱爱	c=2 d=8.54357e-149 t=615008
ai da 	挨打	c=2 d=2.68451e-235 t=615008
ai hao 	哀嚎	c=1 d=2.91689e-153 t=615008
ai hao 	爱好	c=2 d=1.5483e-231 t=615008
ai hao zhe 	爱好者	c=1 d=4.8132e-16 t=615008
ai mei 	暧昧	c=2 d=7.6391e-236 t=615008
ai ni 	爱你	c=1 d=0 t=615008
ai qing 	爱情	c=2 d=2.4451e-48 t=615008
ai ren 	爱人	c=1 d=0 t=615008
ai ren 	矮人	c=3 d=2.76724e-08 t=615008
ai shang 	爱上	c=1 d=2.84315e-234 t=615008
ai xian 	艾县	c=1 d=0 t=615008
ai ye 	哎爷	c=1 d=4.85846e-126 t=615008
ai ye 	艾叶	c=7 d=0.771052 t=615008
ai zhe 	挨着	c=9 d=4.7923e-53 t=615008
ai zheng 	癌症	c=2 d=3.98752e-96 t=615008
an 	安	c=382 d=0.000183773 t=615008
an 	按	c=607 d=2.28477 t=615008
an 	暗	c=7 d=0.470011 t=615008
an 	鞍	c=2 d=2.77405e-33 t=615008
an chang 	暗娼	c=0 d=0 t=615008
an ding 	安定	c=14 d=3.42101e-58 t=615008
an hao 	暗号	c=1 d=2.78938e-39 t=615008
an jian 	按键	c=38 d=0.927743 t=615008
an jing 	安静	c=2 d=1.04124e-93 t=615008
an ju 	安居	c=1 d=1.44523e-09 t=615008
an li 	案例	c=2 d=8.12749e-238 t=615008
an lian 	暗恋	c=2 d=4.32436e-197 t=615008
an mo 	按摩	c=2 d=1.11751e-248 t=615008
an niu 	按钮	c=40 d=1.18398e-75 t=615008
an pai 	安排	c=24 d=1.02319e-06 t=615008
an quan 	安全	c=43 d=3.65286e-06 t=615008
an quan gan 	安全感	c=1 d=4.3326e-190 t=615008
an quan xing 	安全性	c=1 d=0 t=615008
an shi 	按时	c=2 d=1.53454e-38 t=615008
an shi 	暗示	c=1 d=1.49007e-280 t=615008
an wei 	安慰	c=1 d=1.28517e-128 t=615008
an xia 	按下	c=6 d=0 t=615008
an yi xia 	按一下	c=1 d=1.38339e-259 t=615008
an zhao 	按照	c=6 d=8.13763e-47 t=615008
an zhuang 	安装	c=108 d=0.453845 t=615008
an zhuang bao 	安装包	c=2 d=2.25605e-160 t=615008
an zhuo 	安卓	c=274 d=0.000742862 t=615008
ao 	凹	c=4 d=1.62977e-282 t=615008
ao 	奥	c=2 d=1.0456e-54 t=615008
ao 	澳	c=1 d=0 t=615008
ao 	熬	c=1 d=5.88567e-59 t=615008
ao ao dai bu 	嗷嗷待哺	c=1 d=0 t=615008
ao man 	傲慢	c=4 d=9.17701e-20 t=615008
ao men 	澳门	c=3 d=8.54116e-79 t=615008
ao te 	奥特	c=1 d=2.23217e-270 t=615008
ao te man 	奥特曼	c=3 d=1.17491e-14 t=615008
ao tu 	凹凸	c=2 d=9.39186e-283 t=615008
ao ye 	熬夜	c=9 d=1.17108e-05 t=615008
ba 	八	c=5 d=1.37329e-26 t=615008
ba 	吧	c=7360 d=5.12405 t=615008
ba 	巴	c=4 d=6.21971e-32 t=615008
ba 	把	c=1018 d=1.59195 t=615008
ba 	拔	c=12 d=2.54944e-28 t=615008
ba 	爸	c=1 d=1.66152e-179 t=615008
ba 	罢	c=5 d=6.68931e-06 t=615008
ba 	霸	c=6 d=9.68772e-157 t=615008
ba bao zhou 	八宝粥	c=1 d=0 t=615008
ba dan 	巴丹	c=1 d=1.6201e-88 t=615008
ba dan ni ya 	巴丹尼亚	c=1 d=2.5809e-125 t=615008
ba gong 	巴贡	c=1 d=2.03304e-112 t=615008
ba gong 	罢工	c=5 d=3.4014e-191 t=615008
ba huang hou 	八皇后	c=1 d=3.59866e-271 t=615008
ba ji si tan 	巴基斯坦	c=1 d=4.01476e-176 t=615008
ba kong 	把控	c=1 d=4.52296e-284 t=615008
ba le 	罢了	c=20 d=0.360595 t=615008
ba ni 	把你	c=2 d=3.29671e-05 t=615008
ba quan 	霸权	c=1 d=7.70328e-225 t=615008
ba shi 	巴适	c=1 d=5.19253e-173 t=615008
ba wang 	霸王	c=0 d=0 t=615008
ba wang zhan chi 	霸王展翅	c=1 d=0 t=615008
ba wo 	把握	c=1 d=0 t=615008
ba ya 	拔牙	c=3 d=9.17701e-20 t=615008
ba zhang 	巴掌	c=1 d=2.13776e-196 t=615008
ba zhu 	吧主	c=1 d=1.41822e-228 t=615008
ba zhu 	霸主	c=2 d=2.31056e-88 t=615008
bai 	拜	c=1 d=0.00273944 t=615008
bai 	摆	c=4 d=7.56103e-241 t=615008
bai 	白	c=41 d=3.10525e-07 t=615008
bai 	百	c=11 d=0.744532 t=615008
bai 	败	c=2 d=7.64159e-13 t=615008
bai bian 	百变	c=0 d=5.32165e-257 t=615008
bai bian guai 	百变怪	c=1 d=5.34833e-256 t=615008
bai cai 	白菜	c=6 d=6.17501e-06 t=615008
bai ce 	白测	c=1 d=8.82769e-34 t=615008
bai deng 	拜登	c=1 d=0.0025415 t=615008
bai dian 	白点	c=1 d=1.78156e-88 t=615008
bai du 	百度	c=33 d=6.36523e-10 t=615008
bai fen 	百分	c=1 d=5.08382e-130 t=615008
bai fen bai 	百分百	c=9 d=2.29827e-231 t=615008
bai fen bi 	百分比	c=7 d=4.95589e-83 t=615008
bai fen hao 	百份好	c=1 d=2.56133e-300 t=615008
bai fen zhi 	百分之	c=1 d=1.01385e-191 t=615008
bai gao xing 	白高兴	c=1 d=7.67418e-63 t=615008
bai gong 	白宫	c=1 d=1.11492e-162 t=615008
bai hu 	白虎	c=1 d=1.06503e-241 t=615008
bai jiu 	白酒	c=3 d=2.71729e-172 t=615008
bai ke 	百科	c=2 d=8.44068e-36 t=615008
bai lai 	白濑	c=1 d=7.6625e-192 t=615008
bai ma 	白马	c=1 d=0 t=615008
bai mai 	白买	c=2 d=0 t=615008
bai mao 	白猫	c=1 d=1.65302e-295 t=615008
bai ming dan 	白名单	c=352 d=0.00835421 t=615008
bai ren 	白人	c=1 d=1.71287e-96 t=615008
bai se 	白色	c=7 d=8.68695e-20 t=615008
bai she 	摆设	c=1 d=7.02733e-174 t=615008
bai shi zhou 	白石洲	c=1 d=4.21212e-123 t=615008
bai tian 	白天	c=14 d=5.90019e-11 t=615008
bai wan 	百万	c=13 d=1.51928e-38 t=615008
bai wei shu 	白位数	c=1 d=1.82406e-130 t=615008
bai xue bing 	白血病	c=1 d=5.90158e-267 t=615008
bai ye 	白页	c=1 d=8.58438e-206 t=615008
bai yi 	百亿	c=2 d=3.05957e-156 t=615008
ban 	伴	c=6 d=1.94332e-174 t=615008
ban 	办	c=31 d=3.68632e-25 t=615008
ban 	半	c=68 d=0.416507 t=615008
ban 	拌	c=1 d=3.05801e-150 t=615008
ban 	搬	c=47 d=7.63639e-05 t=615008
ban 	板	c=22 d=1.9806e-20 t=615008
ban 	版	c=7 d=3.02389e-17 t=615008
ban 	班	c=42 d=6.31821e-11 t=615008
ban ban 	斑斑	c=18 d=5.27455e-34 t=615008
ban ben 	版本	c=1273 d=5.23983 t=615008
ban cheng pin 	半成品	c=1 d=5.92007e-245 t=615008
ban dao ti 	半导体	c=1 d=2.15569e-301 t=615008
ban deng 	板凳	c=1 d=6.96823e-16 t=615008
ban dian 	半点	c=1 d=1.13649e-299 t=615008
ban fa 	办法	c=137 d=0.510929 t=615008
ban ge 	半个	c=8 d=4.00572e-32 t=615008
ban ge duo yue 	半个多月	c=1 d=0 t=615008
ban ge yue 	半个月	c=18 d=3.95091e-17 t=615008
ban gong 	办公	c=10 d=3.0056e-35 t=615008
ban gong lou 	办公楼	c=1 d=0 t=615008
ban gong shi 	办公室	c=2 d=6.42244e-27 t=615008
ban gong si 	办公司	c=1 d=3.39169e-45 t=615008
ban guo qu 	搬过去	c=1 d=7.52222e-63 t=615008
ban jia 	搬家	c=9 d=2.2049e-09 t=615008
ban jia 	板甲	c=1 d=3.27169e-33 t=615008
ban jin 	半斤	c=10 d=5.21141e-10 t=615008
ban lan 	斑斓	c=1 d=9.5231e-220 t=615008
ban lv 	伴侣	c=3 d=5.86273e-160 t=615008
ban nian 	半年	c=49 d=0.0665368 t=615008
ban nian duo 	半年多	c=2 d=1.86285e-109 t=615008
ban nian qian 	半年前	c=2 d=1.34017e-121 t=615008
ban quan 	版权	c=9 d=3.01463e-129 t=615008
ban shan yao 	半山腰	c=1 d=9.48428e-172 t=615008
ban si bu huo 	半死不活	c=2 d=4.88329e-39 t=615008
ban tian 	半天	c=73 d=7.92856e-27 t=615008
ban xiao shi 	半小时	c=7 d=1.87398e-36 t=615008
ban xue 	半血	c=2 d=4.15065e-09 t=615008
ban yan 	扮演	c=0 d=0 t=615008
ban ye 	半夜	c=13 d=2.30435e-27 t=615008
ban yun 	搬运	c=1 d=2.86391e-202 t=615008
ban zhang 	班长	c=1 d=2.04538e-95 t=615008
ban zhu 	版主	c=1 d=1.08881e-236 t=615008
ban zi 	板子	c=7 d=5.7933e-20 t=615008
ban zi 	班子	c=1 d=4.84344e-119 t=615008
ban zou 	伴奏	c=34 d=3.21373e-53 t=615008
ban zou 	搬走	c=1 d=5.25527e-226 t=615008
bang 	帮	c=39 d=0.000655185 t=615008
bang 	绑	c=2 d=2.72227e-76 t=615008
bang bang 	帮帮	c=3 d=2.86011e-157 t=615008
bang dang 	帮当	c=1 d=3.46069e-76 t=615008
bang ding 	绑定	c=75 d=6.2123e-18 t=615008
bang gua o 	帮挂哦	c=1 d=4.7334e-319 t=615008
bang jia 	绑架	c=1 d=1.92672e-39 t=615008
bang ke 	棒客	c=1 d=0 t=615008
bang mang 	帮忙	c=717 d=0.618723 t=615008
bang ni 	帮你	c=4 d=2.42587e-14 t=615008
bang shou 	帮手	c=1 d=1.35979e-233 t=615008
bang tuo 	帮脱	c=1 d=1.899e-45 t=615008
bang wo 	帮我	c=468 d=0.70303 t=615008
bang wo kan 	帮我看	c=1 d=1.97016e-301 t=615008
bang zhu 	帮助	c=4 d=0.18452 t=615008
bao 	保	c=3 d=7.04862e-297 t=615008
bao 	包	c=756 d=4.47402 t=615008
bao 	堡	c=1 d=8.43207e-24 t=615008
bao 	宝	c=17 d=2.56748e-05 t=615008
bao 	报	c=614 d=0.606713 t=615008
bao 	爆	c=15 d=2.05793e-20 t=615008
bao 	饱	c=1 d=0 t=615008
bao an 	保安	c=5 d=1.12833e-195 t=615008
bao an 	宝安	c=2 d=3.96619e-268 t=615008
bao bao 	宝宝	c=7 d=9.95175e-88 t=615008
bao bei 	宝贝	c=1 d=3.92268e-109 t=615008
bao bei 	报备	c=3 d=5.62003e-192 t=615008
bao biao 	报表	c=35 d=0.000122794 t=615008
bao bu liao 	保不了	c=1 d=0 t=615008
bao chi 	保持	c=37 d=1.03098e-06 t=615008
bao chou 	报酬	c=1 d=5.21928e-204 t=615008
bao chuo 	保戳	c=2 d=1.78066e-229 t=615008
bao cun 	保存	c=123 d=0.00740653 t=615008
bao cuo 	报错	c=439 d=0.181772 t=615008
bao da 	暴打	c=6 d=2.12241e-30 t=615008
bao dao 	报道	c=1 d=9.45006e-12 t=615008
bao di 	保底	c=2 d=0 t=615008
bao dian 	宝典	c=1 d=4.87953e-265 t=615008
bao fa 	爆发	c=2 d=4.33039e-185 t=615008
bao fa dian 	爆发点	c=1 d=4.35209e-184 t=615008
bao fu 	包袱	c=2 d=0 t=615008
