# Rime user dictionary
#@/db_name	rime_frost
#@/db_type	userdb
#@/rime_version	1.16.0
#@/tick	2174
#@/user_id	c28f17ba-0bbb-4f45-89da-6c5d9fec0f91
a 	啊	c=2110 d=2.38761 t=2174
a 	阿	c=4 d=0.000593188 t=2174
a la si jia zhou 	阿拉斯加州	c=1 d=5.4253e-13 t=2174
a li 	阿里	c=18 d=5.15403e-12 t=2174
a li yun 	阿里云	c=1 d=5.4253e-13 t=2174
a qiang 	阿强	c=1 d=5.4253e-13 t=2174
a sai lai 	啊赛来	c=3 d=1.08506e-12 t=2174
a san 	阿三	c=1 d=5.4253e-13 t=2174
a yi 	阿姨	c=1 d=5.4253e-13 t=2174
a zhe 	啊这	c=69 d=1.89885e-11 t=2174
ai 	哀	c=1 d=5.4253e-13 t=2174
ai 	哎	c=2582 d=7.00677e-10 t=2174
ai 	挨	c=2 d=8.13795e-13 t=2174
ai 	爱	c=36 d=1.00368e-11 t=2174
ai 	矮	c=6 d=1.89885e-12 t=2174
ai 	艾	c=2 d=8.13795e-13 t=2174
ai ai 	爱爱	c=2 d=8.13795e-13 t=2174
ai da 	挨打	c=2 d=8.13795e-13 t=2174
ai hao 	哀嚎	c=1 d=5.4253e-13 t=2174
ai hao 	爱好	c=2 d=8.13795e-13 t=2174
ai hao zhe 	爱好者	c=1 d=5.4253e-13 t=2174
ai lin 	艾琳	c=1 d=5.4253e-13 t=2174
ai mei 	暧昧	c=2 d=8.13795e-13 t=2174
ai ni 	爱你	c=1 d=5.4253e-13 t=2174
ai qing 	爱情	c=2 d=8.13795e-13 t=2174
ai ren 	爱人	c=1 d=5.4253e-13 t=2174
ai ren 	矮人	c=3 d=0.000911882 t=2174
ai shang 	爱上	c=1 d=5.4253e-13 t=2174
ai sheng 	爱生	c=1 d=5.4253e-13 t=2174
ai xian 	艾县	c=1 d=5.4253e-13 t=2174
ai ye 	哎爷	c=1 d=5.4253e-13 t=2174
ai ye 	艾叶	c=7 d=2.17012e-12 t=2174
ai zhe 	挨着	c=9 d=2.71265e-12 t=2174
ai zheng 	癌症	c=2 d=8.13795e-13 t=2174
an 	安	c=382 d=1.03894e-10 t=2174
an 	按	c=607 d=1.64929e-10 t=2174
an 	暗	c=7 d=2.17012e-12 t=2174
an 	鞍	c=2 d=8.13795e-13 t=2174
an chang 	暗娼	c=0 d=0 t=2174
an ding 	安定	c=14 d=4.06897e-12 t=2174
an fang 	安放	c=1 d=5.4253e-13 t=2174
an hao 	暗号	c=1 d=5.4253e-13 t=2174
an jian 	按键	c=38 d=0.0124629 t=2174
an jian 	案件	c=1 d=0.0124007 t=2174
an jing 	安静	c=2 d=8.13795e-13 t=2174
