# Rime user dictionary
#@/db_name	zrm2000
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	12038
#@/user_id	c28f17ba-0bbb-4f45-89da-6c5d9fec0f91
Vuioc[uioc] 	时	c=1 d=2.36557e-12 t=12038
a 	啊	c=1358 d=9.64175 t=12038
ab 	AB型	c=7 d=0.340154 t=12038
af, 	安放	c=1 d=0.00891518 t=12038
ahoq 	昻	c=1 d=0.217621 t=12038
ailn 	艾琳	c=1 d=3.47589e-10 t=12038
aiug 	爱生	c=1 d=0.00035443 t=12038
am, 	澳门	c=1 d=0.0285814 t=12038
anvo 	案桌	c=6 d=0.60704 t=12038
anzo 	按左	c=2 d=3.37724e-09 t=12038
aomk 	澳毛	c=1 d=1 t=12038
asf, 	ASF	c=3 d=2.98506 t=12038
b 	不	c=44 d=1.14674 t=12038
bahd 	八荒	c=1 d=0.000309671 t=12038
bald 	八两	c=1 d=2.89532e-07 t=12038
baly 	霸陵	c=5 d=2.71943 t=12038
bbj, 	半杯酒	c=6 d=0.960789 t=12038
bbz, 	半辈子	c=1 d=0.150318 t=12038
bcbc 	表表	c=1 d=2.25488e-07 t=12038
bchs 	标红	c=2 d=0.750632 t=12038
bcjm 	标间	c=1 d=0.00121259 t=12038
bcnz 	表内	c=1 d=0.00159641 t=12038
bcqi 	表旗	c=1 d=4.14064e-10 t=12038
bctiu 	标题	c=1 d=1.25015e-09 t=12038
bcvr 	标砖	c=1 d=4.61018e-09 t=12038
bfgr 	本官	c=1 d=0.0665368 t=12038
bgdi 	蹦迪	c=1 d=0.0144076 t=12038
bgvu 	绷住	c=35 d=2.17278 t=12038
bhbh 	邦邦	c=1 d=0.000291637 t=12038
bhgo 	帮过	c=1 d=2.0608e-07 t=12038
bho 	膀	c=2 d=7.47782e-09 t=12038
bhuh 	绑上	c=1 d=1.08964e-10 t=12038
bidg 	壁灯	c=2 d=0.136503 t=12038
bigr 	闭馆	c=1 d=1.34775e-11 t=12038
bihv 	必会	c=1 d=0.00690852 t=12038
biiu 	必出	c=1 d=0.00159641 t=12038
bijx 	毕节	c=3 d=0.225373 t=12038
bili 	笔力	c=2 d=0.00421123 t=12038
bilz 	避雷	c=3 d=0.748248 t=12038
bing 	必能	c=1 d=1.20072e-05 t=12038
biue 	必设	c=1 d=4.26529e-06 t=12038
bixr 	必选	c=2 d=0.00644146 t=12038
biys 	必用	c=1 d=6.22097e-05 t=12038
bj 	版	c=213 d=5.315 t=12038
bjbj 	板板	c=2 d=0.0140138 t=12038
bjcp 	半寸	c=1 d=0.000274654 t=12038
bjgo 	搬过	c=1 d=3.11329e-08 t=12038
bjhj 	半酣	c=1 d=0.683861 t=12038
bjhv 	半会	c=4 d=0.0448245 t=12038
bjxcui 	半小时	c=30 d=1.29131 t=12038
bjzi 	绊子	c=1 d=0.0407622 t=12038
bkgz 	包给	c=4 d=0.603506 t=12038
bkhd 	保皇	c=1 d=0.0776922 t=12038
bkii 	包吃	c=1 d=0.000114493 t=12038
bklz 	暴雷	c=3 d=0.164434 t=12038
bkw 	褒	c=1 d=3.89951e-10 t=12038
bldy 	白丁	c=1 d=0.0393602 t=12038
blgj 	白干	c=8 d=0.041776 t=12038
blml 	摆卖	c=2 d=1.2327e-10 t=12038
blpc 	白票	c=2 d=0.0149956 t=12038
blpy 	白屏	c=10 d=0.770969 t=12038
blzi 	摆子	c=1 d=4.94529e-11 t=12038
bmda 	鞭打	c=1 d=1.43753e-05 t=12038
bmdk 	变到	c=1 d=1.14216e-05 t=12038
bmdo 	变多	c=14 d=1.08852 t=12038
bmdr 	变短	c=2 d=0.00216573 t=12038
bmgk 	变高	c=3 d=7.16061e-10 t=12038
bmgo 	变过	c=9 d=0.914225 t=12038
bmks 	变空	c=2 d=0.00208081 t=12038
bmky 	变快	c=5 d=0.421052 t=12038
bmlg 	变冷	c=1 d=2.4617e-10 t=12038
bmph 	变胖	c=1 d=0.158025 t=12038
bmpy 	变平	c=1 d=0.000515692 t=12038
bmqd 	变强	c=3 d=0.00905368 t=12038
bmqm 	便签	c=7 d=2.84049e-06 t=12038
bmua 	变傻	c=1 d=1.26861e-05 t=12038
bmuk 	变少	c=14 d=0.373099 t=12038
bq, 	并且	c=2 d=1 t=12038
brd, 	不人道	c=1 d=9.14709e-11 t=12038
buaa 	不啊	c=1 d=0.00980366 t=12038
bubiyk 	不必要	c=1 d=1.39528e-07 t=12038
bubj 	不搬	c=1 d=0.00334597 t=12038
bucl 	不才	c=3 d=0.066205 t=12038
bucpz 	不存	c=1 d=0.246597 t=12038
bucpzl 	不存在	c=44 d=2.27602 t=12038
bucs 	不从	c=1 d=0.00273944 t=12038
budb 	不都	c=18 d=0.899503 t=12038
budc 	不吊	c=1 d=0.470011 t=12038
budc 	不调	c=1 d=1.95052e-07 t=12038
budg 	不登	c=3 d=0.0207601 t=12038
budgui 	不等式	c=2 d=0.0898153 t=12038
budgyu 	不等于	c=5 d=0.0989733 t=12038
budm 	不点	c=1 d=0.00373503 t=12038
budq 	不丢	c=1 d=5.2493e-07 t=12038
budvv 	步队	c=1 d=1.50421e-09 t=12038
bufg 	不封	c=1 d=1.44199e-12 t=12038
bufuhe 	不符合	c=12 d=0.887169 t=12038
bugj 	不敢	c=2 d=1.20301e-06 t=12038
buheli 	不合理	c=8 d=0.139191 t=12038
buhf 	不恨	c=2 d=0.202909 t=12038
buhrh 	不换	c=2 d=0.000871757 t=12038
buikgo 	不超过	c=2 d=0.000769323 t=12038
buir 	不传	c=11 d=0.190871 t=12038
buis 	不充	c=2 d=2.19917e-10 t=12038
bujtd 	不决	c=1 d=5.31579e-08 t=12038
bujubz 	不具备	c=1 d=0.00235786 t=12038
