# Rime user dictionary
#@/db_name	rime_frost
#@/db_type	userdb
#@/rime_version	1.16.0
#@/tick	8035
#@/user_id	current
a 	啊	c=2154 d=1.17102 t=7478
a 	阿	c=4 d=1.83344e-14 t=7478
a la si jia zhou 	阿拉斯加州	c=1 d=1.67686e-23 t=7478
a li 	阿里	c=18 d=1.59302e-22 t=7478
a li yun 	阿里云	c=1 d=1.67686e-23 t=7478
a qiang 	阿强	c=1 d=1.67686e-23 t=7478
a sai lai 	啊赛来	c=3 d=3.35372e-23 t=7478
a san 	阿三	c=1 d=1.67686e-23 t=7478
a yi 	阿姨	c=4 d=8.39578e-08 t=7478
a zhe 	啊这	c=71 d=0.00350008 t=7478
ai 	哀	c=1 d=1.67686e-23 t=7478
ai 	哎	c=2587 d=0.0100586 t=7478
ai 	挨	c=2 d=2.51529e-23 t=7478
ai 	爱	c=36 d=3.10219e-22 t=7478
ai 	矮	c=6 d=5.869e-23 t=7478
ai 	艾	c=2 d=2.51529e-23 t=7478
ai ai 	爱爱	c=2 d=2.51529e-23 t=7478
ai da 	挨打	c=2 d=2.51529e-23 t=7478
ai hao 	哀嚎	c=1 d=1.67686e-23 t=7478
ai hao 	爱好	c=2 d=2.51529e-23 t=7478
ai hao zhe 	爱好者	c=1 d=1.67686e-23 t=7478
ai lin 	艾琳	c=1 d=1.67686e-23 t=7478
ai mei 	暧昧	c=2 d=2.51529e-23 t=7478
ai ni 	爱你	c=1 d=1.67686e-23 t=7478
ai qing 	爱情	c=2 d=2.51529e-23 t=7478
ai ren 	爱人	c=1 d=1.67686e-23 t=7478
ai ren 	矮人	c=3 d=2.81846e-14 t=7478
ai shang 	爱上	c=1 d=1.67686e-23 t=7478
ai sheng 	爱生	c=1 d=1.67686e-23 t=7478
ai xian 	艾县	c=1 d=1.67686e-23 t=7478
ai ye 	哎爷	c=1 d=1.67686e-23 t=7478
ai ye 	艾叶	c=7 d=6.70744e-23 t=7478
ai zhe 	挨着	c=9 d=8.38431e-23 t=7478
ai zheng 	癌症	c=2 d=2.51529e-23 t=7478
an 	安	c=382 d=3.21118e-21 t=7478
an 	按	c=611 d=1.13076 t=7478
an 	暗	c=7 d=6.70744e-23 t=7478
an 	鞍	c=2 d=2.51529e-23 t=7478
an chang 	暗娼	c=0 d=0 t=7478
an ding 	安定	c=14 d=1.25764e-22 t=7478
an fang 	安放	c=1 d=1.67686e-23 t=7478
an hao 	暗号	c=1 d=1.67686e-23 t=7478
an jian 	按键	c=38 d=3.85206e-13 t=7478
an jian 	案件	c=1 d=3.83283e-13 t=7478
an jing 	安静	c=2 d=2.51529e-23 t=7478
an ju 	安居	c=1 d=1.67686e-23 t=7478
an li 	案例	c=2 d=2.51529e-23 t=7478
an lian 	暗恋	c=2 d=2.51529e-23 t=7478
an mo 	按摩	c=2 d=2.51529e-23 t=7478
an niu 	按钮	c=40 d=3.43758e-22 t=7478
an pai 	安排	c=24 d=2.09608e-22 t=7478
an quan 	安全	c=45 d=0.00767224 t=7478
an quan gan 	安全感	c=1 d=1.67686e-23 t=7478
an quan xing 	安全性	c=1 d=1.67686e-23 t=7478
an shi 	按时	c=2 d=2.51529e-23 t=7478
an shi 	暗示	c=1 d=1.67686e-23 t=7478
an wei 	安慰	c=1 d=1.67686e-23 t=7478
an xia 	按下	c=7 d=0.778801 t=7478
an yi xia 	按一下	c=1 d=1.67686e-23 t=7478
an zhao 	按照	c=6 d=5.869e-23 t=7478
an zhuang 	安装	c=109 d=0.024234 t=7478
an zhuang bao 	安装包	c=3 d=0.0243554 t=7478
an zhuo 	安卓	c=274 d=2.30568e-21 t=7478
an zhuo 	案桌	c=6 d=5.869e-23 t=7478
an zuo 	按左	c=2 d=2.51529e-23 t=7478
ang 	昻	c=1 d=1.67686e-23 t=7478
ao 	凹	c=4 d=4.19214e-23 t=7478
ao 	奥	c=2 d=1.60577e-13 t=7478
ao 	澳	c=1 d=1.67686e-23 t=7478
ao 	熬	c=1 d=1.67686e-23 t=7478
ao ao dai bu 	嗷嗷待哺	c=1 d=1.67686e-23 t=7478
ao gang 	奥港	c=1 d=1.67131e-13 t=7478
ao man 	傲慢	c=4 d=4.19214e-23 t=7478
ao mao 	澳毛	c=1 d=1.67686e-23 t=7478
ao men 	澳门	c=3 d=3.35372e-23 t=7478
ao te 	奥特	c=1 d=1.67686e-23 t=7478
ao te man 	奥特曼	c=4 d=9.14553e-09 t=7478
ao tu 	凹凸	c=2 d=2.51529e-23 t=7478
ao ye 	熬夜	c=9 d=8.38431e-23 t=7478
ba 	八	c=5 d=5.03059e-23 t=7478
ba 	吧	c=7432 d=4.21382 t=7982
ba 	巴	c=4 d=4.19214e-23 t=7478
ba 	把	c=1036 d=0.400929 t=7478
ba 	拔	c=12 d=1.08996e-22 t=7478
ba 	爸	c=1 d=1.67686e-23 t=7478
ba 	罢	c=5 d=5.03059e-23 t=7478
ba 	霸	c=6 d=5.869e-23 t=7478
ba bao zhou 	八宝粥	c=1 d=1.67686e-23 t=7478
ba dan 	巴丹	c=1 d=1.67686e-23 t=7478
ba dan ni ya 	巴丹尼亚	c=1 d=1.67686e-23 t=7478
ba gong 	巴贡	c=1 d=1.67686e-23 t=7478
ba gong 	罢工	c=5 d=5.03059e-23 t=7478
ba huang 	八荒	c=1 d=1.67686e-23 t=7478
ba huang hou 	八皇后	c=1 d=1.67686e-23 t=7478
ba ji si tan 	巴基斯坦	c=1 d=1.67686e-23 t=7478
ba kong 	把控	c=1 d=1.67686e-23 t=7478
ba le 	罢了	c=20 d=1.76071e-22 t=7478
ba liang 	八两	c=1 d=1.67686e-23 t=7478
ba ling 	霸陵	c=5 d=5.03059e-23 t=7478
ba ni 	把你	c=3 d=4.06916e-11 t=7478
ba quan 	霸权	c=1 d=1.67686e-23 t=7478
ba shi 	巴适	c=1 d=1.67686e-23 t=7478
ba wang 	霸王	c=0 d=0 t=7478
ba wang zhan chi 	霸王展翅	c=1 d=1.67686e-23 t=7478
ba wo 	把握	c=1 d=1.67686e-23 t=7478
ba ya 	拔牙	c=3 d=3.35372e-23 t=7478
ba zhang 	巴掌	c=1 d=1.67686e-23 t=7478
ba zhu 	吧主	c=1 d=1.67686e-23 t=7478
ba zhu 	霸主	c=2 d=2.51529e-23 t=7478
bai 	拜	c=1 d=1.67686e-23 t=7478
bai 	摆	c=4 d=4.19214e-23 t=7478
