# Rime user dictionary
#@/db_name	extended
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	389086
#@/user_id	mac
a 	啊	c=2090 d=6.0343 t=389086
a 	阿	c=1 d=6.10342e-104 t=389086
a li 	阿里	c=13 d=6.92854e-37 t=389086
a li yun 	阿里云	c=1 d=6.78821e-296 t=389086
a qiang 	阿强	c=1 d=0 t=389086
a zhe 	啊这	c=67 d=1.53642e-23 t=389086
ai 	哀	c=1 d=1.29412e-92 t=389086
ai 	哎	c=1792 d=0.873823 t=389086
ai 	挨	c=1 d=0 t=389086
ai 	爱	c=35 d=2.37114e-69 t=389086
ai 	矮	c=6 d=6.90925e-63 t=389086
ai ai 	爱爱	c=2 d=8.54357e-149 t=389086
ai da 	挨打	c=1 d=0 t=389086
ai hao 	哀嚎	c=1 d=2.91689e-153 t=389086
ai hao 	爱好	c=2 d=1.5483e-231 t=389086
ai ni 	爱你	c=1 d=0 t=389086
ai qing 	爱情	c=2 d=2.4451e-48 t=389086
ai shang 	爱上	c=1 d=2.84315e-234 t=389086
ai xian 	艾县	c=1 d=0 t=389086
ai ye 	哎爷	c=1 d=4.85846e-126 t=389086
ai ye 	艾叶	c=7 d=0.771052 t=389086
ai zhe 	挨着	c=4 d=4.7923e-53 t=389086
ai zheng 	癌症	c=2 d=3.98752e-96 t=389086
an 	安	c=365 d=0.000183773 t=389086
an 	按	c=347 d=2.28477 t=389086
an 	暗	c=7 d=0.470011 t=389086
an ding 	安定	c=7 d=3.42101e-58 t=389086
an hao 	暗号	c=1 d=2.78938e-39 t=389086
an jian 	按键	c=21 d=0.927743 t=389086
an jing 	安静	c=2 d=1.04124e-93 t=389086
an ju 	安居	c=1 d=1.44523e-09 t=389086
an li 	案例	c=1 d=0 t=389086
an lian 	暗恋	c=1 d=2.30972e-260 t=389086
an mo 	按摩	c=2 d=1.11751e-248 t=389086
an niu 	按钮	c=5 d=1.18398e-75 t=389086
an pai 	安排	c=19 d=1.02319e-06 t=389086
an quan 	安全	c=24 d=3.65286e-06 t=389086
an quan gan 	安全感	c=1 d=4.3326e-190 t=389086
an quan xing 	安全性	c=1 d=0 t=389086
an shi 	暗示	c=1 d=1.49007e-280 t=389086
an xia 	按下	c=6 d=0 t=389086
an yi xia 	按一下	c=1 d=1.38339e-259 t=389086
an zhao 	按照	c=5 d=8.13763e-47 t=389086
an zhuang 	安装	c=50 d=0.453845 t=389086
an zhuang bao 	安装包	c=1 d=0 t=389086
an zhuo 	安卓	c=48 d=0.000742862 t=389086
ao 	凹	c=3 d=1.62977e-282 t=389086
ao 	熬	c=1 d=5.88567e-59 t=389086
ao man 	傲慢	c=3 d=5.77661e-133 t=389086
ao te 	奥特	c=1 d=2.23217e-270 t=389086
ao te man 	奥特曼	c=1 d=0 t=389086
ao tu 	凹凸	c=2 d=9.39186e-283 t=389086
ao ye 	熬夜	c=5 d=1.17108e-05 t=389086
ba 	八	c=5 d=1.37329e-26 t=389086
ba 	吧	c=3905 d=5.12405 t=389086
ba 	把	c=576 d=0.0872219 t=389086
ba 	拔	c=12 d=2.54944e-28 t=389086
ba 	罢	c=2 d=3.54732e-14 t=389086
ba 	霸	c=6 d=9.68772e-157 t=389086
ba huang hou 	八皇后	c=1 d=3.59866e-271 t=389086
ba ji si tan 	巴基斯坦	c=1 d=4.01476e-176 t=389086
ba kong 	把控	c=1 d=4.52296e-284 t=389086
ba le 	罢了	c=14 d=0.360595 t=389086
ba ni 	把你	c=1 d=0 t=389086
ba quan 	霸权	c=1 d=7.70328e-225 t=389086
ba shi 	巴适	c=1 d=5.19253e-173 t=389086
ba wo 	把握	c=1 d=0 t=389086
ba ya 	拔牙	c=3 d=9.17701e-20 t=389086
ba zhang 	巴掌	c=1 d=2.13776e-196 t=389086
ba zhu 	吧主	c=1 d=1.41822e-228 t=389086
bai 	摆	c=4 d=7.56103e-241 t=389086
bai 	白	c=21 d=7.6359e-64 t=389086
bai 	百	c=8 d=0.744532 t=389086
bai 	败	c=2 d=7.64159e-13 t=389086
bai cai 	白菜	c=6 d=6.17501e-06 t=389086
bai ce 	白测	c=1 d=8.82769e-34 t=389086
bai du 	百度	c=26 d=1.29045e-12 t=389086
bai fen bai 	百分百	c=7 d=2.29827e-231 t=389086
bai fen bi 	百分比	c=6 d=4.95589e-83 t=389086
bai fen hao 	百份好	c=1 d=2.56133e-300 t=389086
bai gao xing 	白高兴	c=1 d=7.67418e-63 t=389086
bai gong 	白宫	c=1 d=1.11492e-162 t=389086
bai hu 	白虎	c=1 d=1.06503e-241 t=389086
bai jiu 	白酒	c=3 d=2.71729e-172 t=389086
bai mao 	白猫	c=1 d=1.65302e-295 t=389086
bai ming dan 	白名单	c=247 d=0.00835421 t=389086
bai ren 	白人	c=1 d=1.71287e-96 t=389086
bai se 	白色	c=4 d=3.8149e-46 t=389086
bai she 	摆设	c=1 d=7.02733e-174 t=389086
bai shi zhou 	白石洲	c=1 d=4.21212e-123 t=389086
bai tian 	白天	c=7 d=5.90019e-11 t=389086
bai wan 	百万	c=10 d=1.51928e-38 t=389086
bai wei shu 	白位数	c=1 d=1.82406e-130 t=389086
bai xue bing 	白血病	c=1 d=5.90158e-267 t=389086
bai ye 	白页	c=1 d=8.58438e-206 t=389086
bai yi 	百亿	c=1 d=3.05957e-156 t=389086
ban 	伴	c=6 d=1.94332e-174 t=389086
