# Rime user dictionary
#@/db_name	zrm2000
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	6937
#@/user_id	mac
Vuioc[uioc] 	时	c=1 d=2.36557e-12 t=6937
a 	啊	c=17 d=3.95726 t=6937
ab 	AB型	c=4 d=0.340154 t=6937
ahoq 	昻	c=1 d=0.217621 t=6937
aiug 	爱生	c=1 d=0.00035443 t=6937
anvo 	案桌	c=4 d=0.60704 t=6937
anzo 	按左	c=2 d=3.37724e-09 t=6937
asf, 	ASF	c=3 d=2.98506 t=6937
b 	不	c=25 d=1.14674 t=6937
baly 	霸陵	c=5 d=2.71943 t=6937
bbj, 	半杯酒	c=4 d=0.960789 t=6937
bbz, 	半辈子	c=1 d=0.150318 t=6937
bchs 	标红	c=2 d=0.750632 t=6937
bcjm 	标间	c=1 d=0.00121259 t=6937
bcnz 	表内	c=1 d=0.00159641 t=6937
bfgr 	本官	c=1 d=0.0665368 t=6937
bgdi 	蹦迪	c=1 d=0.0144076 t=6937
bgvu 	绷住	c=24 d=2.17278 t=6937
bhuh 	绑上	c=1 d=1.08964e-10 t=6937
bidg 	壁灯	c=2 d=0.136503 t=6937
bihv 	必会	c=1 d=0.00690852 t=6937
biiu 	必出	c=1 d=0.00159641 t=6937
bijx 	毕节	c=3 d=0.225373 t=6937
bili 	笔力	c=2 d=0.00421123 t=6937
bilz 	避雷	c=2 d=0.748248 t=6937
biue 	必设	c=1 d=4.26529e-06 t=6937
bixr 	必选	c=1 d=0.00644146 t=6937
bj 	版	c=188 d=5.315 t=6937
bjbj 	板板	c=2 d=0.0140138 t=6937
bjgo 	搬过	c=1 d=3.11329e-08 t=6937
bjhj 	半酣	c=1 d=0.683861 t=6937
bjhv 	半会	c=1 d=0.0448245 t=6937
bjxcui 	半小时	c=24 d=1.29131 t=6937
bjzi 	绊子	c=1 d=0.0407622 t=6937
bkgz 	包给	c=1 d=0.603506 t=6937
bkii 	包吃	c=1 d=0.000114493 t=6937
bklz 	暴雷	c=2 d=0.164434 t=6937
bkw 	褒	c=1 d=3.89951e-10 t=6937
bldy 	白丁	c=1 d=0.0393602 t=6937
blgj 	白干	c=8 d=0.041776 t=6937
blpc 	白票	c=1 d=0.0149956 t=6937
blpy 	白屏	c=7 d=0.770969 t=6937
blzi 	摆子	c=1 d=4.94529e-11 t=6937
bmdk 	变到	c=1 d=1.14216e-05 t=6937
bmdo 	变多	c=9 d=0.612448 t=6937
bmdr 	变短	c=1 d=0.00216573 t=6937
bmgo 	变过	c=6 d=0.914225 t=6937
bmks 	变空	c=1 d=0.00208081 t=6937
bmky 	变快	c=4 d=0.136721 t=6937
bmph 	变胖	c=1 d=0.158025 t=6937
bmqd 	变强	c=1 d=9.14554e-09 t=6937
bmuk 	变少	c=9 d=0.373099 t=6937
bq, 	并且	c=1 d=1 t=6937
